Code,Company,Sector,Market Cap,Weight(%),,Total Index Market Cap,
ABP,Abacus Property Group FP Ordinary/Units Stapled Securities,Real Estate,"2,133,640,000",0.12,,"1,764,225,242,200",
AX1,Accent Group Limited,Consumer Discretionary,"706,320,000",0.04,,,
ABC,Adelaide Brighton,Materials,"2,908,230,000",0.16,,Sector Breakdown,
APT,Afterpay Touch,Information Technology,"3,765,780,000",0.21,,Consumer Discretionary,7.26
AGL,AGL Energy Limited,Utilities,"14,047,800,000",0.8,,Consumer Staples,5.63
ALQ,Als Limited,Industrials,"3,529,040,000",0.2,,Energy,6.14
ALU,Altium Limited,Information Technology,"3,256,260,000",0.18,,Financials,28.64
AJM,Altura Mining Limited,Materials,"263,953,000",0.01,,Health Care,9.38
AWC,Alumina Limited,Materials,"6,998,020,000",0.4,,Industrials,8.65
AMA,AMA Group Limited,Consumer Discretionary,"522,610,000",0.03,,Information Technology,3.47
AYS,Amaysim Aus Limited,Telecommunication Services,"196,037,000",0.01,,Materials,17.95
AMC,Amcor Limited,Materials,"15,808,600,000",0.9,,Real Estate,7.68
AMP,AMP Limited,Financials,"6,638,590,000",0.38,,Telecommunication Services,3.17
ANN,Ansell Limited,Health Care,"3,106,890,000",0.18,,Utilities,2.03
ANZ,ANZ Banking Group Limited,Financials,"71,820,100,000",4.07,,,
APA,APA Group FP Units Stapled Securities,Utilities,"10,831,400,000",0.61,,,
APX,Appen Limited,Information Technology,"1,701,330,000",0.1,,,
ARB,ARB Corporation,Consumer Discretionary,"1,245,470,000",0.07,,,
ALG,Ardentleisuregrpltd,Consumer Discretionary,"650,002,000",0.04,,,
ARF,Arena REIT FP Ordinary/Units Stapled Securities,Real Estate,"729,857,000",0.04,,,
ALL,Aristocrat Leisure,Consumer Discretionary,"15,727,300,000",0.89,,,
ARQ,ARQ Group Limited,Information Technology,"212,194,000",0.01,,,
AHY,Asaleo Care Limited,Consumer Staples,"488,810,000",0.03,,,
ASX,ASX Limited,Financials,"12,333,900,000",0.7,,,
ALX,Atlas Arteria FP Ordinary Stapled Securities,Industrials,"4,543,710,000",0.26,,,
AIA,Auckland Internation Foreign Exempt NZX,Industrials,"8,404,530,000",0.48,,,
AMI,Aurelia Metals Limited,Materials,"711,661,000",0.04,,,
AZJ,Aurizon Holdings Limited,Industrials,"8,756,560,000",0.5,,,
ASL,Ausdrill Limited,Materials,"862,772,000",0.05,,,
AST,Ausnet Services Limited,Utilities,"6,026,900,000",0.34,,,
ASB,Austal Limited,Industrials,"703,990,000",0.04,,,
AAC,Australian Agricult,Consumer Staples,"644,960,000",0.04,,,
API,Australian Pharm,Health Care,"620,592,000",0.04,,,
AHG,Automotive Holdings,Consumer Discretionary,"515,674,000",0.03,,,
AVN,Aventus Group FP Ordinary/Units Stapled Securities,Real Estate,"1,125,810,000",0.06,,,
AOG,Aveo Group FP Ordinary/Units Stapled Securities,Real Estate,"940,795,000",0.05,,,
BOQ,Bank of Queensland,Financials,"4,086,180,000",0.23,,,
BAP,Bapcor Limited,Consumer Discretionary,"1,742,850,000",0.1,,,
BPT,Beach Energy Limited,Energy,"4,100,850,000",0.23,,,
BGA,Bega Cheese Limited,Consumer Staples,"1,080,570,000",0.06,,,
BAL,Bellamy's Australia,Consumer Staples,"986,304,000",0.06,,,
